,state,year,quarter,type,count,amount,date,hdi,population
227,Uttar Pradesh,2018,4,Merchant payments,6953857,2480267671.259793,2018-01-01,0.596,231502578
228,Uttar Pradesh,2018,4,Financial Services,517619,76250539.85851902,2018-01-01,0.596,231502578
229,Uttar Pradesh,2018,4,Others,847573,663216794.1554663,2018-01-01,0.596,231502578
230,Uttar Pradesh,2020,3,Peer-to-peer payments,54449911,207530912756.73047,2020-01-01,0.596,231502578
231,Uttar Pradesh,2020,3,Recharge & bill payments,37465163,16437365640.853413,2020-01-01,0.596,231502578
232,Uttar Pradesh,2020,3,Merchant payments,34697942,24224433240.836243,2020-01-01,0.596,231502578
233,Uttar Pradesh,2020,3,Financial Services,206210,194129227.54374278,2020-01-01,0.596,231502578
234,Uttar Pradesh,2020,3,Others,586033,303114557.0989778,2020-01-01,0.596,231502578
235,Uttar Pradesh,2020,2,Recharge & bill payments,42229417,14668026056.368128,2020-01-01,0.596,231502578
236,Uttar Pradesh,2020,2,Peer-to-peer payments,39434202,150079524408.8693,2020-01-01,0.596,231502578
237,Uttar Pradesh,2020,2,Merchant payments,18625913,13655151082.574724,2020-01-01,0.596,231502578
238,Uttar Pradesh,2020,2,Financial Services,150360,131930242.90371712,2020-01-01,0.596,231502578
239,Uttar Pradesh,2020,2,Others,412073,209384339.5723213,2020-01-01,0.596,231502578
240,Uttar Pradesh,2020,1,Peer-to-peer payments,39581157,147734706846.56177,2020-01-01,0.596,231502578
241,Uttar Pradesh,2020,1,Recharge & bill payments,29777603,11168417430.652225,2020-01-01,0.596,231502578
242,Uttar Pradesh,2020,1,Merchant payments,26741638,13072371616.871723,2020-01-01,0.596,231502578
243,Uttar Pradesh,2020,1,Financial Services,139990,64365117.409359045,2020-01-01,0.596,231502578
244,Uttar Pradesh,2020,1,Others,998744,376573949.20359,2020-01-01,0.596,231502578
245,Uttar Pradesh,2020,4,Peer-to-peer payments,75433782,294401153346.76337,2020-01-01,0.596,231502578
246,Uttar Pradesh,2020,4,Merchant payments,61922138,44438824680.670944,2020-01-01,0.596,231502578
247,Uttar Pradesh,2020,4,Recharge & bill payments,39570153,17793973968.761925,2020-01-01,0.596,231502578
248,Uttar Pradesh,2020,4,Financial Services,246868,255803306.13741985,2020-01-01,0.596,231502578
249,Uttar Pradesh,2020,4,Others,994576,539071475.9342327,2020-01-01,0.596,231502578
250,Uttar Pradesh,2022,1,Merchant payments,221556930,165543931419.27045,2022-01-01,0.596,231502578
251,Uttar Pradesh,2022,1,Peer-to-peer payments,195592648,684758883172.6667,2022-01-01,0.596,231502578
252,Uttar Pradesh,2022,1,Recharge & bill payments,54873261,31683813998.386055,2022-01-01,0.596,231502578
253,Uttar Pradesh,2022,1,Financial Services,358499,386218170.5981607,2022-01-01,0.596,231502578
254,Uttar Pradesh,2022,1,Others,1571908,750327356.10464,2022-01-01,0.596,231502578
255,Sikkim,2019,3,Peer-to-peer payments,203052,794235862.6317357,2019-01-01,0.717,658019
256,Sikkim,2019,3,Merchant payments,188753,52337322.5262961,2019-01-01,0.717,658019
257,Sikkim,2019,3,Recharge & bill payments,156125,33922224.892257094,2019-01-01,0.717,658019
258,Sikkim,2019,3,Financial Services,288,548142.8999844441,2019-01-01,0.717,658019
259,Sikkim,2019,3,Others,4218,3672895.4901549704,2019-01-01,0.717,658019
260,Sikkim,2019,2,Peer-to-peer payments,172125,674044301.8399961,2019-01-01,0.717,658019
261,Sikkim,2019,2,Recharge & bill payments,142582,32535297.489453897,2019-01-01,0.717,658019
262,Sikkim,2019,2,Merchant payments,66722,28248001.02647286,2019-01-01,0.717,658019
263,Sikkim,2019,2,Financial Services,2294,310197.54774877685,2019-01-01,0.717,658019
264,Sikkim,2019,2,Others,4521,3756445.53226958,2019-01-01,0.717,658019
265,Sikkim,2019,1,Peer-to-peer payments,121984,422987999.89472675,2019-01-01,0.717,658019
266,Sikkim,2019,1,Recharge & bill payments,96878,20711589.874598008,2019-01-01,0.717,658019
267,Sikkim,2019,1,Merchant payments,18346,11837344.846847566,2019-01-01,0.717,658019
268,Sikkim,2019,1,Financial Services,1225,191594.23340424805,2019-01-01,0.717,658019
269,Sikkim,2019,1,Others,1854,2265105.53451732,2019-01-01,0.717,658019
270,Sikkim,2019,4,Peer-to-peer payments,508471,1086457147.940953,2019-01-01,0.717,658019
271,Sikkim,2019,4,Recharge & bill payments,181287,42705664.08625737,2019-01-01,0.717,658019
272,Sikkim,2019,4,Merchant payments,73992,43954548.804204434,2019-01-01,0.717,658019
273,Sikkim,2019,4,Financial Services,373,494076.3450829056,2019-01-01,0.717,658019
274,Sikkim,2019,4,Others,2947,2898164.4797200123,2019-01-01,0.717,658019
275,Sikkim,2021,3,Peer-to-peer payments,595826,2582075089.383399,2021-01-01,0.717,658019
276,Sikkim,2021,3,Recharge & bill payments,346173,111613776.75942023,2021-01-01,0.717,658019
277,Sikkim,2021,3,Merchant payments,213808,290732930.46291006,2021-01-01,0.717,658019
278,Sikkim,2021,3,Financial Services,1689,2624558.3857180667,2021-01-01,0.717,658019
279,Sikkim,2021,3,Others,3098,2290508.8169457563,2021-01-01,0.717,658019
280,Sikkim,2021,2,Peer-to-peer payments,473141,2125758496.616091,2021-01-01,0.717,658019
