date,state,count,amount,registeredUsers,date_id
2019-04-01,28,107218103,200948315488.79202,11757883,455
2019-04-01,29,237796252,295047143447.2266,15385416,455
2019-04-01,30,1515272,2923460348.499469,353546,455
2019-04-01,31,3765,11269913.40492385,2427,455
2019-04-01,32,12498637,21151326637.80472,3503938,455
2019-04-01,33,56596411,103190865512.54387,9620493,455
2019-04-01,34,1012655,1932028317.8789024,204292,455
2019-04-01,35,35159,136838530.51737788,25960,455
2020-01-01,0,199409525,371343780368.2145,12306860,730
2020-01-01,1,1038049,3315282853.9797797,783198,730
2020-01-01,2,4144480,7419466751.122747,1106025,730
2020-01-01,3,15217784,31374185265.90002,3739502,730
2020-01-01,4,2262511,5126453070.016205,312887,730
2020-01-01,5,9131784,16158080258.987629,1943606,730
2020-01-01,6,44036087,81976214558.24486,7018770,730
2020-01-01,7,81747604,133616543642.5902,7826197,730
2020-01-01,8,102258812,190308238561.0086,12142053,730
2020-01-01,9,97239132,172416434960.70502,20136256,730
2020-01-01,10,45081815,109256853527.24722,9351234,730
2020-01-01,11,528118,1053476271.9444016,104631,730
2020-01-01,12,567175,1381758681.3301463,149066,730
2020-01-01,13,378051,894780028.7343676,107143,730
2020-01-01,14,818801,2598590380.8769507,177374,730
2020-01-01,15,153609,392077579.34963703,46499,730
2020-01-01,16,924502,1588778806.3885024,299962,730
2020-01-01,17,502283,1120134840.9078138,113814,730
2020-01-01,18,8808860,20668428347.729362,2185938,730
2020-01-01,19,66250381,96653305190.93869,11960822,730
2020-01-01,20,18282713,33611232153.26895,3651393,730
2020-01-01,21,53682307,91956798199.33623,6652970,730
2020-01-01,22,19523991,32860597671.35659,3016487,730
2020-01-01,23,79366746,126737281436.1993,10151371,730
2020-01-01,24,47326417,86995076621.9043,10259843,730
2020-01-01,25,878579,1342763369.292518,218496,730
2020-01-01,27,238944081,319995196718.089,26168390,730
2020-01-01,28,127677357,252737214289.05878,13022060,730
2020-01-01,29,271033890,353402054999.3907,17016980,730
2020-01-01,30,1881237,3410371231.9237647,391900,730
2020-01-01,31,5151,13502368.574504208,2772,730
2020-01-01,32,15733522,26451084830.9343,4078316,730
2020-01-01,33,66953473,116569686179.44409,10872368,730
2020-01-01,34,1207921,2205277477.0795846,230908,730
2020-01-01,35,41298,161476312.2972747,28368,730
2020-02-01,0,152055143,321531839352.4324,13378191,761
2020-02-01,1,2790016,8789441937.910585,898328,761
2020-02-01,2,4695730,8036904762.543922,1249867,761
2020-02-01,3,14081294,30284654252.213554,4225481,761
2020-02-01,4,1528010,3847015729.690074,336351,761
2020-02-01,5,9047770,16094187702.10101,2148567,761
2020-02-01,6,41781050,80711264923.94063,7682878,761
2020-02-01,7,66042018,107873438203.33096,8391139,761
2020-02-01,8,101954656,193763273003.26578,13563201,761
2020-02-01,9,100851965,178744016130.2889,22498519,761
2020-02-01,10,53386742,128806523628.84396,10603767,761
2020-02-01,11,517731,1054618788.2612665,119921,761
2020-02-01,12,808774,1826716832.9849677,177534,761
2020-02-01,13,517566,1137674504.3478029,130205,761
2020-02-01,14,1083068,3198936212.8055096,215496,761
